name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency
RZE__to__SZZ_cand_0,0.3,6,11.3,1.0899999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_1,0.3,6,11.3,1.0899999999999999,0.3,2.66,1.0000000000,true,0.9473684211
RZE__to__SZZ_cand_2,0.3,6,11.3,1.0899999999999999,0.3,3.08,1.0000000000,true,0.8181818182
RZE__to__SZZ_cand_3,0.3,6,11.3,1.0899999999999999,0.3,3.5,1.0000000000,true,0.7200000000
RZE__to__SZZ_cand_4,0.3,6,11.3,1.0899999999999999,0.3,3.92,1.0000000000,true,0.6428571429
RZE__to__SZZ_cand_5,0.3,6,11.3,1.0899999999999999,0.3,4.2,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_6,0.3,6,11.3,1.0899999999999999,0.3,4.34,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_7,0.3,6,11.3,1.0899999999999999,0.3,4.76,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_8,0.3,6,11.3,1.0899999999999999,0.3,5.18,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_9,0.3,6,11.3,1.0899999999999999,0.3,5.6,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_10,0.3,6,11.3,1.3599999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_11,0.3,6,11.3,1.3599999999999999,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_12,0.3,6,11.3,1.3599999999999999,0.3,3.08,1.0000000000,true,0.9760765550
RZE__to__SZZ_cand_13,0.3,6,11.3,1.3599999999999999,0.3,3.5,1.0000000000,true,0.8589473684
RZE__to__SZZ_cand_14,0.3,6,11.3,1.3599999999999999,0.3,3.92,1.0000000000,true,0.7669172932
RZE__to__SZZ_cand_15,0.3,6,11.3,1.3599999999999999,0.3,4.2,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_16,0.3,6,11.3,1.3599999999999999,0.3,4.34,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_17,0.3,6,11.3,1.3599999999999999,0.3,4.76,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_18,0.3,6,11.3,1.3599999999999999,0.3,5.18,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_19,0.3,6,11.3,1.3599999999999999,0.3,5.6,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_20,0.3,6,11.3,1.63,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_21,0.3,6,11.3,1.63,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_22,0.3,6,11.3,1.63,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_23,0.3,6,11.3,1.63,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_24,0.3,6,11.3,1.63,0.3,3.92,1.0000000000,true,0.9191729323
RZE__to__SZZ_cand_25,0.3,6,11.3,1.63,0.3,4.2,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_26,0.3,6,11.3,1.63,0.3,4.34,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_27,0.3,6,11.3,1.63,0.3,4.76,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_28,0.3,6,11.3,1.63,0.3,5.18,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_29,0.3,6,11.3,1.63,0.3,5.6,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_30,0.3,6,11.3,1.9,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_31,0.3,6,11.3,1.9,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_32,0.3,6,11.3,1.9,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_33,0.3,6,11.3,1.9,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_34,0.3,6,11.3,1.9,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_35,0.3,6,11.3,1.9,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_36,0.3,6,11.3,1.9,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_37,0.3,6,11.3,1.9,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_38,0.3,6,11.3,1.9,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_39,0.3,6,11.3,1.9,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_40,0.3,6,11.3,2.17,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_41,0.3,6,11.3,2.17,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_42,0.3,6,11.3,2.17,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_43,0.3,6,11.3,2.17,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_44,0.3,6,11.3,2.17,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_45,0.3,6,11.3,2.17,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_46,0.3,6,11.3,2.17,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_47,0.3,6,11.3,2.17,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_48,0.3,6,11.3,2.17,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_49,0.3,6,11.3,2.17,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_50,0.3,6,11.3,2.44,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_51,0.3,6,11.3,2.44,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_52,0.3,6,11.3,2.44,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_53,0.3,6,11.3,2.44,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_54,0.3,6,11.3,2.44,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_55,0.3,6,11.3,2.44,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_56,0.3,6,11.3,2.44,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_57,0.3,6,11.3,2.44,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_58,0.3,6,11.3,2.44,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_59,0.3,6,11.3,2.44,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_60,0.3,6,11.3,2.7,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_61,0.3,6,11.3,2.7,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_62,0.3,6,11.3,2.7,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_63,0.3,6,11.3,2.7,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_64,0.3,6,11.3,2.7,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_65,0.3,6,11.3,2.7,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_66,0.3,6,11.3,2.7,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_67,0.3,6,11.3,2.7,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_68,0.3,6,11.3,2.7,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_69,0.3,6,11.3,2.7,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_70,0.3,6,11.3,2.71,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_71,0.3,6,11.3,2.71,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_72,0.3,6,11.3,2.71,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_73,0.3,6,11.3,2.71,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_74,0.3,6,11.3,2.71,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_75,0.3,6,11.3,2.71,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_76,0.3,6,11.3,2.71,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_77,0.3,6,11.3,2.71,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_78,0.3,6,11.3,2.71,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_79,0.3,6,11.3,2.71,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_80,0.3,6,11.3,2.98,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_81,0.3,6,11.3,2.98,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_82,0.3,6,11.3,2.98,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_83,0.3,6,11.3,2.98,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_84,0.3,6,11.3,2.98,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_85,0.3,6,11.3,2.98,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_86,0.3,6,11.3,2.98,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_87,0.3,6,11.3,2.98,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_88,0.3,6,11.3,2.98,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_89,0.3,6,11.3,2.98,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_90,0.3,6,11.3,3.25,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_91,0.3,6,11.3,3.25,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_92,0.3,6,11.3,3.25,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_93,0.3,6,11.3,3.25,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_94,0.3,6,11.3,3.25,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_95,0.3,6,11.3,3.25,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_96,0.3,6,11.3,3.25,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_97,0.3,6,11.3,3.25,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_98,0.3,6,11.3,3.25,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_99,0.3,6,11.3,3.25,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_100,0.3,6,11.3,3.52,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_101,0.3,6,11.3,3.52,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_102,0.3,6,11.3,3.52,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_103,0.3,6,11.3,3.52,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_104,0.3,6,11.3,3.52,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_105,0.3,6,11.3,3.52,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_106,0.3,6,11.3,3.52,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_107,0.3,6,11.3,3.52,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_108,0.3,6,11.3,3.52,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_109,0.3,6,11.3,3.52,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_110,0.4,6,11.3,1.0899999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_111,0.4,6,11.3,1.0899999999999999,0.3,2.66,1.0000000000,true,0.9473684211
RZE__to__SZZ_cand_112,0.4,6,11.3,1.0899999999999999,0.3,3.08,1.0000000000,true,0.8181818182
RZE__to__SZZ_cand_113,0.4,6,11.3,1.0899999999999999,0.3,3.5,1.0000000000,true,0.7200000000
RZE__to__SZZ_cand_114,0.4,6,11.3,1.0899999999999999,0.3,3.92,1.0000000000,true,0.6428571429
RZE__to__SZZ_cand_115,0.4,6,11.3,1.0899999999999999,0.3,4.2,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_116,0.4,6,11.3,1.0899999999999999,0.3,4.34,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_117,0.4,6,11.3,1.0899999999999999,0.3,4.76,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_118,0.4,6,11.3,1.0899999999999999,0.3,5.18,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_119,0.4,6,11.3,1.0899999999999999,0.3,5.6,1.0000000000,true,0.6000000000
RZE__to__SZZ_cand_120,0.4,6,11.3,1.3599999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_121,0.4,6,11.3,1.3599999999999999,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_122,0.4,6,11.3,1.3599999999999999,0.3,3.08,1.0000000000,true,0.9760765550
RZE__to__SZZ_cand_123,0.4,6,11.3,1.3599999999999999,0.3,3.5,1.0000000000,true,0.8589473684
RZE__to__SZZ_cand_124,0.4,6,11.3,1.3599999999999999,0.3,3.92,1.0000000000,true,0.7669172932
RZE__to__SZZ_cand_125,0.4,6,11.3,1.3599999999999999,0.3,4.2,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_126,0.4,6,11.3,1.3599999999999999,0.3,4.34,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_127,0.4,6,11.3,1.3599999999999999,0.3,4.76,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_128,0.4,6,11.3,1.3599999999999999,0.3,5.18,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_129,0.4,6,11.3,1.3599999999999999,0.3,5.6,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_130,0.4,6,11.3,1.63,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_131,0.4,6,11.3,1.63,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_132,0.4,6,11.3,1.63,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_133,0.4,6,11.3,1.63,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_134,0.4,6,11.3,1.63,0.3,3.92,1.0000000000,true,0.9191729323
RZE__to__SZZ_cand_135,0.4,6,11.3,1.63,0.3,4.2,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_136,0.4,6,11.3,1.63,0.3,4.34,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_137,0.4,6,11.3,1.63,0.3,4.76,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_138,0.4,6,11.3,1.63,0.3,5.18,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_139,0.4,6,11.3,1.63,0.3,5.6,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_140,0.4,6,11.3,1.9,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_141,0.4,6,11.3,1.9,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_142,0.4,6,11.3,1.9,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_143,0.4,6,11.3,1.9,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_144,0.4,6,11.3,1.9,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_145,0.4,6,11.3,1.9,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_146,0.4,6,11.3,1.9,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_147,0.4,6,11.3,1.9,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_148,0.4,6,11.3,1.9,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_149,0.4,6,11.3,1.9,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_150,0.4,6,11.3,2.17,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_151,0.4,6,11.3,2.17,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_152,0.4,6,11.3,2.17,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_153,0.4,6,11.3,2.17,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_154,0.4,6,11.3,2.17,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_155,0.4,6,11.3,2.17,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_156,0.4,6,11.3,2.17,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_157,0.4,6,11.3,2.17,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_158,0.4,6,11.3,2.17,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_159,0.4,6,11.3,2.17,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_160,0.4,6,11.3,2.44,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_161,0.4,6,11.3,2.44,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_162,0.4,6,11.3,2.44,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_163,0.4,6,11.3,2.44,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_164,0.4,6,11.3,2.44,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_165,0.4,6,11.3,2.44,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_166,0.4,6,11.3,2.44,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_167,0.4,6,11.3,2.44,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_168,0.4,6,11.3,2.44,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_169,0.4,6,11.3,2.44,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_170,0.4,6,11.3,2.7,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_171,0.4,6,11.3,2.7,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_172,0.4,6,11.3,2.7,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_173,0.4,6,11.3,2.7,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_174,0.4,6,11.3,2.7,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_175,0.4,6,11.3,2.7,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_176,0.4,6,11.3,2.7,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_177,0.4,6,11.3,2.7,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_178,0.4,6,11.3,2.7,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_179,0.4,6,11.3,2.7,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_180,0.4,6,11.3,2.71,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_181,0.4,6,11.3,2.71,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_182,0.4,6,11.3,2.71,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_183,0.4,6,11.3,2.71,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_184,0.4,6,11.3,2.71,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_185,0.4,6,11.3,2.71,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_186,0.4,6,11.3,2.71,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_187,0.4,6,11.3,2.71,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_188,0.4,6,11.3,2.71,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_189,0.4,6,11.3,2.71,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_190,0.4,6,11.3,2.98,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_191,0.4,6,11.3,2.98,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_192,0.4,6,11.3,2.98,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_193,0.4,6,11.3,2.98,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_194,0.4,6,11.3,2.98,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_195,0.4,6,11.3,2.98,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_196,0.4,6,11.3,2.98,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_197,0.4,6,11.3,2.98,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_198,0.4,6,11.3,2.98,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_199,0.4,6,11.3,2.98,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_200,0.4,6,11.3,3.25,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_201,0.4,6,11.3,3.25,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_202,0.4,6,11.3,3.25,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_203,0.4,6,11.3,3.25,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_204,0.4,6,11.3,3.25,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_205,0.4,6,11.3,3.25,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_206,0.4,6,11.3,3.25,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_207,0.4,6,11.3,3.25,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_208,0.4,6,11.3,3.25,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_209,0.4,6,11.3,3.25,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_210,0.4,6,11.3,3.52,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_211,0.4,6,11.3,3.52,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_212,0.4,6,11.3,3.52,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_213,0.4,6,11.3,3.52,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_214,0.4,6,11.3,3.52,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_215,0.4,6,11.3,3.52,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_216,0.4,6,11.3,3.52,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_217,0.4,6,11.3,3.52,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_218,0.4,6,11.3,3.52,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_219,0.4,6,11.3,3.52,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_220,0.5,6,11.3,1.0899999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_221,0.5,6,11.3,1.0899999999999999,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_222,0.5,6,11.3,1.0899999999999999,0.3,3.08,1.0000000000,true,0.9740259740
RZE__to__SZZ_cand_223,0.5,6,11.3,1.0899999999999999,0.3,3.5,1.0000000000,true,0.8571428571
RZE__to__SZZ_cand_224,0.5,6,11.3,1.0899999999999999,0.3,3.92,1.0000000000,true,0.7653061224
RZE__to__SZZ_cand_225,0.5,6,11.3,1.0899999999999999,0.3,4.2,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_226,0.5,6,11.3,1.0899999999999999,0.3,4.34,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_227,0.5,6,11.3,1.0899999999999999,0.3,4.76,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_228,0.5,6,11.3,1.0899999999999999,0.3,5.18,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_229,0.5,6,11.3,1.0899999999999999,0.3,5.6,1.0000000000,true,0.7142857143
RZE__to__SZZ_cand_230,0.5,6,11.3,1.3599999999999999,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_231,0.5,6,11.3,1.3599999999999999,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_232,0.5,6,11.3,1.3599999999999999,0.3,3.08,1.0000000000,true,0.9760765550
RZE__to__SZZ_cand_233,0.5,6,11.3,1.3599999999999999,0.3,3.5,1.0000000000,true,0.8589473684
RZE__to__SZZ_cand_234,0.5,6,11.3,1.3599999999999999,0.3,3.92,1.0000000000,true,0.7669172932
RZE__to__SZZ_cand_235,0.5,6,11.3,1.3599999999999999,0.3,4.2,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_236,0.5,6,11.3,1.3599999999999999,0.3,4.34,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_237,0.5,6,11.3,1.3599999999999999,0.3,4.76,1.0000000000,true,0.7157894737
