name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WAW_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_326,0.6240000000000012,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_323,0.6240000000000012,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1540,3.774000000000002,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1539,3.774000000000002,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4279,12.174000000000005,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4278,12.174000000000005,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2149,5.874000000000002,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2151,5.874000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2150,5.874000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1239,2.724000000000001,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1238,2.724000000000001,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_934,2.724000000000001,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_935,2.724000000000001,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1237,2.724000000000001,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_933,2.724000000000001,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_932,2.724000000000001,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1236,2.724000000000001,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_931,2.724000000000001,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1235,2.724000000000001,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3366,10.074000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3669,10.5,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3668,10.5,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3367,10.074000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4582,13.224000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_327,0.6240000000000012,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2759,7.974000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1843,4.824000000000002,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4276,12.174000000000005,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1844,4.824000000000002,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1847,4.824000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1846,4.824000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2452,6.924000000000001,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3365,10.074000000000002,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1543,3.774000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1542,3.774000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1541,3.774000000000002,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2455,6.924000000000001,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2453,6.924000000000001,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2454,6.924000000000001,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3364,10.074000000000002,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3363,10.074000000000002,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2451,6.924000000000001,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4887,14.274000000000004,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4885,14.274000000000004,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3059,9.024000000000004,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3063,9.024000000000004,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4884,14.274000000000004,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4883,14.274000000000004,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3061,9.024000000000004,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4886,14.274000000000004,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3667,10.5,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3670,10.5,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3671,10.5,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3975,11.124000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3974,11.124000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_628,1.6740000000000013,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_629,1.6740000000000013,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2758,7.974000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3062,9.024000000000004,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4583,13.224000000000002,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4275,12.174000000000005,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2147,5.874000000000002,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4277,12.174000000000005,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3971,11.124000000000002,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4580,13.224000000000002,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4581,13.224000000000002,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_630,1.6740000000000013,6,11.3,0.2149999999999997,0.3,7.230000000000002,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_631,1.6740000000000013,6,11.3,0.2149999999999997,0.3,7.230000000000004,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_627,1.6740000000000013,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_1845,4.824000000000002,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3060,9.024000000000004,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3973,11.124000000000002,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2757,7.974000000000002,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2756,7.974000000000002,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_3972,11.124000000000002,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_4579,13.224000000000002,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2148,5.874000000000002,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_324,0.6240000000000012,6,11.3,0.2149999999999997,0.3,-18.709999999999997,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_325,0.6240000000000012,6,11.3,0.2149999999999997,0.3,-5.739999999999995,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_2755,7.974000000000002,6,11.3,0.2149999999999997,0.3,-31.679999999999996,1.0,True,1.0,0.7000000000000002
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_117,-0.4259999999999988,6,11.3,3.715,0.3,7.230000000000002,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_79,-0.4259999999999988,6,11.3,2.315,0.3,7.230000000000002,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_80,-0.4259999999999988,6,11.3,2.315,0.3,7.230000000000004,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_98,-0.4259999999999988,6,11.3,3.015,0.3,7.230000000000002,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_99,-0.4259999999999988,6,11.3,3.015,0.3,7.230000000000004,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_137,-0.4259999999999988,6,11.3,4.415,0.3,7.230000000000004,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_136,-0.4259999999999988,6,11.3,4.415,0.3,7.230000000000002,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_114,-0.4259999999999988,6,11.3,3.715,0.3,-31.679999999999996,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_41,-0.4259999999999988,6,11.3,0.9149999999999998,0.3,7.230000000000002,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_40,-0.4259999999999988,6,11.3,0.9149999999999998,0.3,-5.739999999999995,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_115,-0.4259999999999988,6,11.3,3.715,0.3,-18.709999999999997,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_116,-0.4259999999999988,6,11.3,3.715,0.3,-5.739999999999995,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_118,-0.4259999999999988,6,11.3,3.715,0.3,7.230000000000004,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_232,-0.4259999999999988,6,11.3,7.215000000000001,0.3,7.230000000000004,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_231,-0.4259999999999988,6,11.3,7.215000000000001,0.3,7.230000000000002,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_267,-0.4259999999999988,6,11.3,8.615000000000002,0.3,-18.709999999999997,1.0,True,1.0,1.05
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WAW_cand_247,-0.4259999999999988,6,11.3,7.915,0.3,-31.679999999999996,1.0,True,1.0,1.05
